idx	original	no_punc_lower	correct_gold	no_punc_lower_permuted	permuted_gold
0	Sá frestur var þó reyndar síðar framlengdur til 15. mars .	sá frestur var þó reyndar síðar framlengdur til 15. mars	O O C O O O O O O C	sá frestur var þó reyndar síðar til 15. mars framlengdur	O O C O O O O O O C
1	Tökur á myndinni hófust í dag í kvikmyndaveri Warner Bros .	tökur á myndinni hófust í dag í kvikmyndaveri warner bros	O O O C O O O O O O	tökur á myndinni hófust í dag í kvikmyndaveri warner bros	O O O C O O O O O O
2	Íslands- og bikarmeistararnir fá því ágætis veganesti inn í Íslandsmótsins .	íslands- og bikarmeistararnir fá því ágætis veganesti inn í íslandsmótsins	O O O C O O O O O O	íslands- og bikarmeistararnir fá því ágætis veganesti inn í íslandsmótsins	O O O C O O O O O O
3	Í staðinn fékk ég urmul af gjöfum frá fallegu fólki .	í staðinn fékk ég urmul af gjöfum frá fallegu fólki	O O C O O O O O O O	í staðinn ég fékk urmul af gjöfum frá fallegu fólki	O O O F O O O O O O
4	Nú er langt liðið á ágúst og ekkert hefur gerst .	nú er langt liðið á ágúst og ekkert hefur gerst	O C O O O O C O C C	nú er langt á ágúst og liðið ekkert hefur gerst	O C O O O O C O C C
5	Heiðrún Lind vildi ekki staðfesta þetta í samtali við Vísi .	heiðrún lind vildi ekki staðfesta þetta í samtali við vísi	O O C O C O O O O O	heiðrún vildi lind ekki þetta í samtali við vísi staðfesta	O F O O O O O O O F
6	En mjög margt áhugavert sem hefur komið í ljós .	en mjög margt áhugavert sem hefur komið í ljós	O O O O O C C O O	en mjög margt áhugavert sem hefur í ljós komið	O O O O O C O O F
7	Kolbrún tekur á fjölbreyttum og misalvarlegum vandamálum með skjólstæðingum sínum .	kolbrún tekur á fjölbreyttum og misalvarlegum vandamálum með skjólstæðingum sínum	O C O O O O O O O O	kolbrún á fjölbreyttum og misalvarlegum vandamálum með skjólstæðingum sínum tekur	O O O O O O O O O F
8	Samtals gistu fimmtán manns í fangageymslu í Reykjavík um helgina .	samtals gistu fimmtán manns í fangageymslu í reykjavík um helgina	O C O O O O O O O O	samtals fimmtán manns í fangageymslu í reykjavík um helgina gistu	O O O O O O O O O F
9	Hlutfall kvenna hefur aukist lítillega , úr 30% í 33% .	hlutfall kvenna hefur aukist lítillega úr 30% í 33%	O O C C O O O O O	hlutfall kvenna lítillega úr 30% hefur í 33% aukist	O O O O O F O O F
10	Frá og með árinu 2014 hefur markvisst verið unnið að því að minnka hámarkshraða á götum borgarinnar úr 50 km í 30 km .	frá og með árinu 2014 hefur markvisst verið unnið að því að minnka hámarkshraða á götum borgarinnar úr 50 km í 30 km	O O O O O C O C C O O O C O O O O O O O O O O	frá og hefur með unnið árinu 2014 markvisst verið að því að minnka hámarkshraða á götum borgarinnar úr 50 km í 30 km	O O F O F O O O F O O O C O O O O O O O O O O
11	Fidel Castro gagnrýndi Barack Obama , forseta Bandaríkjanna , fyrr í dag í grein sem hann skrifaði og birtist í ríkisreknum fjölmiðli landsins .	fidel castro gagnrýndi barack obama forseta bandaríkjanna fyrr í dag í grein sem hann skrifaði og birtist í ríkisreknum fjölmiðli landsins	O O C O O O O O O O O O O O O O O O O C C	fidel castro gagnrýndi barack obama forseta bandaríkjanna fyrr í dag í grein sem hann og í ríkisreknum fjölmiðli landsins skrifaði birtist	O O C O O O O O O O O O O O O O O O O C C
12	Ég fór því rólega af stað en þegar ég var að taka sprett á æfingu nokkru síðar fann ég sting neðst við ökklann .	ég fór því rólega af stað en þegar ég var að taka sprett á æfingu nokkru síðar fann ég sting neðst við ökklann	O C O O O O O O O C O O O C O O O C O O O O O	ég fór því rólega af stað en þegar ég var nokkru síðar að taka sprett á æfingu ég fann sting neðst við ökklann	O C O O O O O O O C O O O C O O O O F O O O O
13	Angelo kvaðst fyrir dómi í dag hafa vitað af þremur pökkum í bílnum en hann sagðist ekki hafa vitað hvað væri í þeim .	angelo kvaðst fyrir dómi í dag hafa vitað af þremur pökkum í bílnum en hann sagðist ekki hafa vitað hvað væri í þeim	O C O O O O C O C O O O O O O C O C C O C O O	angelo hafa kvaðst fyrir dómi í dag en af þremur pökkum vitað í bílnum hann sagðist hafa ekki vitað hvað væri í þeim	O F F O O O O O O O O F O O O C F O C O C O O
14	Það eru myndirnar Mortdecai og Transcendence sem draga Depp niður , en Mortdecai skilaði fjárfestum tapi og Transcendence kom rétt út á sléttu .	það eru myndirnar mortdecai og transcendence sem draga depp niður en mortdecai skilaði fjárfestum tapi og transcendence kom rétt út á sléttu	O C O O O O O O O C O O O C O O O C O O O O	það eru myndirnar mortdecai og transcendence en og draga sem depp niður mortdecai skilaði fjárfestum tapi transcendence rétt kom út á sléttu	O C O O O O O O F O O O O C O O O O F O O O
15	Ástæðan er fyrst og fremst afar stórir árgangar fólks á aldrinum 65 til 79 ára þar sem hlutfallslega fleri lifa lengur en áður .	ástæðan er fyrst og fremst afar stórir árgangar fólks á aldrinum 65 til 79 ára þar sem hlutfallslega fleri lifa lengur en áður	O C O O O O O O O O O O O O O O O O O C O O O	ástæðan er fyrst og fremst afar stórir árgangar fólks á aldrinum 65 til 79 ára þar sem lifa hlutfallslega fleri lengur en áður	O C O O O O O O O O O O O O O O O F O O O O O
