idx	original	no_punc_lower	adjacent	adjacent_gold	random	random_gold
0	På fredag har SID inviteret til reception i SID-huset i anledning af at formanden Kjeld Christensen går ind i de glade tressere .	på fredag har sid inviteret til reception i sid-huset i anledning af at formanden kjeld christensen går ind i de glade tressere	på fredag inviteret har sid til reception i sid-huset i anledning af at formanden kjeld christensen går ind i de glade tressere	O O F F O O O O O O O O O O O O C O O O O O	på fredag sid inviteret til reception i sid-huset har i anledning af at formanden kjeld christensen går ind i de glade tressere	O O O C O O O O F O O O O O O O C O O O O O
1	Eller slet og ret tykke og fede i mere eller mindre grad , som en enkelt udtrykker det .	eller slet og ret tykke og fede i mere eller mindre grad som en enkelt udtrykker det	eller slet og ret tykke og fede i mere eller mindre grad som en enkelt udtrykker det	O O O O O O O O O O O O O O O C O	eller slet og ret tykke og fede i mere eller mindre grad som en enkelt udtrykker det	O O O O O O O O O O O O O O O C O
2	Under rejser og ophold i udlandet følger sygeplejersker og hjælpere med .	under rejser og ophold i udlandet følger sygeplejersker og hjælpere med	under rejser og ophold i udlandet sygeplejersker følger og hjælpere med	O O O O O O O F O O O	under rejser og ophold i følger udlandet sygeplejersker og hjælpere med	O O O O O F O O O O O
3	Hele det smukt restaurerede hus vrimler med børn - Elise Gug har selv tre - og andelsforeningen er så glad for selskabeligt samvær , at den har egen café og festlokale .	hele det smukt restaurerede hus vrimler med børn elise gug har selv tre og andelsforeningen er så glad for selskabeligt samvær at den har egen café og festlokale	hele det restaurerede smukt hus vrimler med børn elise gug har selv tre og andelsforeningen så er glad for selskabeligt samvær at har den egen café og festlokale	O O F O O C O O O O C O O O O O F O O O O O F O O O O O	hele har det smukt hus vrimler med børn elise gug selv tre og andelsforeningen er restaurerede så glad for selskabeligt samvær at den har egen café og festlokale	O F O O O C O O O O O O O O C F O O O O O O O C O O O O
4	Hun er selv på femte år lykkeligt gift med sin socialdemokratiske partifælle , Mogens Lykketoft .	hun er selv på femte år lykkeligt gift med sin socialdemokratiske partifælle mogens lykketoft	hun er selv på femte år lykkeligt gift med sin socialdemokratiske partifælle mogens lykketoft	O C O O O O O O O O O O O O	hun er selv på femte år lykkeligt gift med sin socialdemokratiske partifælle mogens lykketoft	O C O O O O O O O O O O O O
5	I 1983 ville en mand have navneforandring til Werwolf , men det fik han ikke lov til , for det betragtes som upassende og anstødeligt .	i 1983 ville en mand have navneforandring til werwolf men det fik han ikke lov til for det betragtes som upassende og anstødeligt	i 1983 ville en mand navneforandring have til werwolf men fik det han ikke lov til for det betragtes som upassende og anstødeligt	O O C O O O F O O O F O O O O O O O C O O O O	i 1983 have ville en mand navneforandring til werwolf men det fik han ikke lov til betragtes for det som upassende og anstødeligt	O O F C O O O O O O O C O O O O F O O O O O O
6	Bare ikke i år , advarer lægerne	bare ikke i år advarer lægerne	bare ikke i år advarer lægerne	O O O O C O	bare ikke i år advarer lægerne	O O O O C O
7	Kopieret	kopieret	kopieret	C	kopieret	C
8	Når forløbet i kommunalt regi slutter til december , håber hun , at hendes og mandens firma er vokset stort nok til , at hun kan blive ansat på fuld tid .	når forløbet i kommunalt regi slutter til december håber hun at hendes og mandens firma er vokset stort nok til at hun kan blive ansat på fuld tid	når forløbet i kommunalt regi til slutter håber december hun at hendes og mandens firma er stort vokset nok til at kan hun blive ansat på fuld tid	O O O O O O F F O O O O O O O C O F O O O F O C C O O O	når forløbet i kommunalt regi blive til december håber vokset hun at hendes og mandens firma er stort nok til at ansat hun kan på fuld slutter tid	O O O O O F O O C F O O O O O O C O O O O F O C O O F O
9	Den enestående bil vandt i denne specielle disciplin i konkurrence med 73 andre specialbyggede biler på Silverstone-banen i Storbritannien .	den enestående bil vandt i denne specielle disciplin i konkurrence med 73 andre specialbyggede biler på silverstone-banen i storbritannien	den enestående bil i vandt denne specielle disciplin i konkurrence med 73 andre specialbyggede biler på silverstone-banen i storbritannien	O O O O F O O O O O O O O O O O O O O	den enestående bil vandt i denne specielle disciplin i konkurrence med 73 andre specialbyggede biler på silverstone-banen i storbritannien	O O O C O O O O O O O O O O O O O O O
10	Steen Gade siger , at SF ikke kan gå med til fælles forsvar , den økonomisk-monetære union , unionsborgerskab og dele af det retslige samarbejde .	steen gade siger at sf ikke kan gå med til fælles forsvar den økonomisk-monetære union unionsborgerskab og dele af det retslige samarbejde	steen siger gade at sf ikke kan gå med til fælles forsvar den økonomisk-monetære union unionsborgerskab og dele af det retslige samarbejde	O F O O O O C C O O O O O O O O O O O O O O	steen gade at sf ikke kan med til fælles forsvar den økonomisk-monetære gå union unionsborgerskab og dele af det retslige samarbejde siger	O O O O O C O O O O O O F O O O O O O O O F
11	En anden satte ild til sig selv .	en anden satte ild til sig selv	en anden ild satte til sig selv	O O O F O O O	en anden satte ild til sig selv	O O C O O O O
12	Det er Peter Elmegaard , der sørger for at købe skoene hjem og står i butikken til hverdag .	det er peter elmegaard der sørger for at købe skoene hjem og står i butikken til hverdag	er det peter elmegaard der sørger for at købe skoene hjem og i står butikken til hverdag	F O O O O C O O C O O O O F O O O	det er peter elmegaard købe der for at skoene hjem og står i butikken til hverdag sørger	O C O O F O O O O O O C O O O O F
