idx	original	no_punc_lower	correct_gold	no_punc_lower_permuted	permuted_gold
0	Sá frestur var þó reyndar síðar framlengdur til 15. mars .	sá frestur var þó reyndar síðar framlengdur til 15. mars	O O C O O O O O O C	sá frestur var þó reyndar síðar framlengdur til 15. mars	O O C O O O C O O O
1	Tökur á myndinni hófust í dag í kvikmyndaveri Warner Bros .	tökur á myndinni hófust í dag í kvikmyndaveri warner bros	O O O C O O O O O O	tökur á myndinni í dag hófust í kvikmyndaveri warner bros	O O O O O F O O O O
2	Íslands- og bikarmeistararnir fá því ágætis veganesti inn í Íslandsmótsins .	íslands- og bikarmeistararnir fá því ágætis veganesti inn í íslandsmótsins	O O O C O O O O O O	íslands- og bikarmeistararnir því ágætis veganesti fá inn í íslandsmótsins	O O O O O O F O O O
3	Í staðinn fékk ég urmul af gjöfum frá fallegu fólki .	í staðinn fékk ég urmul af gjöfum frá fallegu fólki	O O C O O O O O O O	í staðinn fékk ég urmul af gjöfum frá fallegu fólki	O O C O O O O O O O
4	Nú er langt liðið á ágúst og ekkert hefur gerst .	nú er langt liðið á ágúst og ekkert hefur gerst	O C O O O O C O C C	nú er langt liðið á ágúst og hefur ekkert gerst	O C O C O O O F O C
5	Heiðrún Lind vildi ekki staðfesta þetta í samtali við Vísi .	heiðrún lind vildi ekki staðfesta þetta í samtali við vísi	O O C O C O O O O O	heiðrún vildi lind staðfesta ekki þetta í samtali við vísi	O F O F O O O O O O
6	En mjög margt áhugavert sem hefur komið í ljós .	en mjög margt áhugavert sem hefur komið í ljós	O O O O O C C O O	en mjög margt áhugavert hefur sem komið í ljós	O O O O F O C O O
7	Kolbrún tekur á fjölbreyttum og misalvarlegum vandamálum með skjólstæðingum sínum .	kolbrún tekur á fjölbreyttum og misalvarlegum vandamálum með skjólstæðingum sínum	O C O O O O O O O O	kolbrún á fjölbreyttum og misalvarlegum vandamálum með skjólstæðingum sínum tekur	O O O O O O O O O F
8	Samtals gistu fimmtán manns í fangageymslu í Reykjavík um helgina .	samtals gistu fimmtán manns í fangageymslu í reykjavík um helgina	O C O O O O O O O O	samtals gistu fimmtán manns í fangageymslu í reykjavík um helgina	O C O O O O O O O O
9	Hlutfall kvenna hefur aukist lítillega , úr 30% í 33% .	hlutfall kvenna hefur aukist lítillega úr 30% í 33%	O O C C O O O O O	hlutfall kvenna lítillega aukist hefur úr 30% í 33%	O O O C F O O O O
