idx	original	no_punc_lower	correct_gold	no_punc_lower_permuted	permuted_gold
0	Sehr gute Beratung , schnelle Behebung der Probleme , so stelle ich mir Kundenservice vor .	sehr gute beratung schnelle behebung der probleme so stelle ich mir kundenservice vor	O O O O O O O O C O O O O	sehr gute beratung schnelle behebung der probleme so stelle ich mir kundenservice vor	O O O O O O O O C O O O O
1	Ob bei der Terminvergabe , den Behandlungsräumen oder den individuell zugeschnittenen Trainingsplänen sind alle Mitarbeiter äußerst kompetent und flexibel .	ob bei der terminvergabe den behandlungsräumen oder den individuell zugeschnittenen trainingsplänen sind alle mitarbeiter äußerst kompetent und flexibel	O O O O O O O O O O O C O O O O O O	ob bei der terminvergabe den behandlungsräumen oder den individuell zugeschnittenen trainingsplänen sind alle mitarbeiter äußerst kompetent und flexibel	O O O O O O O O O O O C O O O O O O
2	Physiotherapie ist zwar oftmals auch anstrengend , aber in dieser Umgebeung freut man sich auf jede Minute Behandlung .	physiotherapie ist zwar oftmals auch anstrengend aber in dieser umgebeung freut man sich auf jede minute behandlung	O C O O O O O O O O C O O O O O O	physiotherapie zwar oftmals auch ist anstrengend aber in dieser umgebeung man sich auf jede minute freut behandlung	O O O O F O O O O O O O O O O F O
3	Das nächste mal rief ich extra vorher an , um einen Termin zu vereinbaren , damit der Konditor auch Zeit für uns hätte .	das nächste mal rief ich extra vorher an um einen termin zu vereinbaren damit der konditor auch zeit für uns hätte	O O O C O O O O O O O O C O O O O O O O C	das nächste mal rief ich extra vorher an um einen termin zu vereinbaren damit der konditor auch zeit hätte für uns	O O O C O O O O O O O O C O O O O O F O O
4	Eine Stunde später gab man uns dann endlich einen Tisch , der allerdings noch nicht einmal abgeräumt war .	eine stunde später gab man uns dann endlich einen tisch der allerdings noch nicht einmal abgeräumt war	O O O C O O O O O O O O O O O C C	eine stunde später man gab uns dann endlich einen tisch der allerdings noch nicht einmal abgeräumt war	O O O O F O O O O O O O O O O C C
5	Die Bedienung verschwand sofort wieder und kam auch erstmal nicht mehr .	die bedienung verschwand sofort wieder und kam auch erstmal nicht mehr	O O C O O O C O O O O	die bedienung verschwand sofort wieder und auch erstmal kam nicht mehr	O O C O O O O O F O O
6	nach fast einer weiteren Stunde , nachdem sich mein Verlobter mehrmals erkundigt und zuletzt sogar beschwert hatte kam endlich der Konditor .	nach fast einer weiteren stunde nachdem sich mein verlobter mehrmals erkundigt und zuletzt sogar beschwert hatte kam endlich der konditor	O O O O O C O O O O O O O O C C O O O C	nach fast einer weiteren stunde nachdem hatte sich erkundigt mein verlobter beschwert und zuletzt sogar mehrmals kam endlich der konditor	O O O O O O F O F O O F O O O O C O O O
7	Jemand unfreundlicheres ist mir in meinem ganzen Leben noch nicht begegnet !	jemand unfreundlicheres ist mir in meinem ganzen leben noch nicht begegnet	O O C O O O O O O O C	jemand unfreundlicheres ist mir in meinem ganzen leben noch nicht begegnet	O O C O O O O O O O C
8	Das war der Punkt an dem wir hätten gehen sollen .	das war der punkt an dem wir hätten gehen sollen	O C O O O O O C C C	das der war punkt an dem wir hätten gehen sollen	O O F O O O O C C C
9	Das einzig positive was man sagen kann war das sie geschmeckt hat , aber rein optisch hätte es meine kleine Schwester wirklich besser gemacht !	das einzig positive was man sagen kann war das sie geschmeckt hat aber rein optisch hätte es meine kleine schwester wirklich besser gemacht	O O O C O O C C O O C C O O O C O O O O O O C	das einzig positive was kann man sagen war hat das sie geschmeckt aber rein hätte optisch es meine kleine schwester wirklich besser gemacht	O O O O F O F C F O O F O O F O O O O O O O C
10	Für eine 300 Euro teuere Torte von einem angeblichen Meisterkonditor war das einfach nur furchtbar -- die gelieferte Torte hatte keinerlei Ähnlichkeit mit dem Bild der Torte die wir haben wollten ( welches wir ihm ja überlassen hatten ) .	für eine 300 euro teuere torte von einem angeblichen meisterkonditor war das einfach nur furchtbar -- die gelieferte torte hatte keinerlei ähnlichkeit mit dem bild der torte die wir haben wollten welches wir ihm ja überlassen hatten	O O O O O O O O O O C O O O O O O O O C O O O O O O O O O C C O O O O C C	für eine 300 euro teuere torte von einem angeblichen meisterkonditor das einfach nur war furchtbar -- die gelieferte torte hatte keinerlei ähnlichkeit mit dem bild der torte die wir haben wollten welches überlassen wir ihm hatten ja	O O O O O O O O O O O O O F O O O O O C O O O O O O O O O C C O F O O F O
11	Ich wurde überzeugt , dass Waschsalons auch einfach prima , hell , sauber und freundlich sein können .	ich wurde überzeugt dass waschsalons auch einfach prima hell sauber und freundlich sein können	O C C O O O O O O O O O C C	ich überzeugt dass waschsalons können auch einfach prima hell sauber wurde und freundlich sein	O F O O F O O O O O F O O F
12	Dienstleistung und Beratung wird wirklich gross geschrieben :-)	dienstleistung und beratung wird wirklich gross geschrieben :-)	O O O C O O C O	dienstleistung und beratung wird wirklich gross geschrieben :-)	O O O C O O C O
