idx	original	no_punc_lower	correct_gold	no_punc_lower_permuted	permuted_gold
0	På fredag har SID inviteret til reception i SID-huset i anledning af at formanden Kjeld Christensen går ind i de glade tressere .	på fredag har sid inviteret til reception i sid-huset i anledning af at formanden kjeld christensen går ind i de glade tressere	O O C O C O O O O O O O O O O O C O O O O O	på fredag har sid inviteret til reception i sid-huset i anledning af går at formanden kjeld christensen ind i de glade tressere	O O C O C O O O O O O O F O O O O O O O O O
1	Eller slet og ret tykke og fede i mere eller mindre grad , som en enkelt udtrykker det .	eller slet og ret tykke og fede i mere eller mindre grad som en enkelt udtrykker det	O O O O O O O O O O O O O O O C O	eller slet og ret tykke og fede i mere eller mindre grad som en enkelt udtrykker det	O O O O O O O O O O O O O O O C O
2	Under rejser og ophold i udlandet følger sygeplejersker og hjælpere med .	under rejser og ophold i udlandet følger sygeplejersker og hjælpere med	O O O O O O C O O O O	under rejser følger og ophold i udlandet sygeplejersker og hjælpere med	O O F O O O O O O O O
3	Hele det smukt restaurerede hus vrimler med børn - Elise Gug har selv tre - og andelsforeningen er så glad for selskabeligt samvær , at den har egen café og festlokale .	hele det smukt restaurerede hus vrimler med børn elise gug har selv tre og andelsforeningen er så glad for selskabeligt samvær at den har egen café og festlokale	O O O C O C O O O O C O O O O O O O C O O O O C O O O O	hele det smukt hus vrimler med børn og andelsforeningen er så glad for selskabeligt samvær restaurerede elise gug har selv tre at den har egen café og festlokale	O O O O F O O O O F O O O O O F O O C O O O O C O O O O
4	Hun er selv på femte år lykkeligt gift med sin socialdemokratiske partifælle , Mogens Lykketoft .	hun er selv på femte år lykkeligt gift med sin socialdemokratiske partifælle mogens lykketoft	O C O O O O O O O O O O O O	hun er selv på femte år lykkeligt gift med sin socialdemokratiske partifælle mogens lykketoft	O C O O O O O O O O O O O O
5	I 1983 ville en mand have navneforandring til Werwolf , men det fik han ikke lov til , for det betragtes som upassende og anstødeligt .	i 1983 ville en mand have navneforandring til werwolf men det fik han ikke lov til for det betragtes som upassende og anstødeligt	O O C O O C O O O O O C O O O O O O C O O O O	i 1983 ville en mand navneforandring til werwolf have men det han ikke lov til fik for det betragtes som upassende og anstødeligt	O O C O O O O O F O O O O O O F O O C O O O O
6	Bare ikke i år , advarer lægerne	bare ikke i år advarer lægerne	O O O O C O	bare ikke i advarer år lægerne	O O O F O O
7	Kopieret	kopieret	C	kopieret	C
8	Når forløbet i kommunalt regi slutter til december , håber hun , at hendes og mandens firma er vokset stort nok til , at hun kan blive ansat på fuld tid .	når forløbet i kommunalt regi slutter til december håber hun at hendes og mandens firma er vokset stort nok til at hun kan blive ansat på fuld tid	O O O O O C O O C O O O O O O C C O O O O O C C C O O O	når forløbet i kommunalt regi slutter til december hun ansat at blive hendes og er mandens firma vokset stort nok håber til at hun på fuld tid kan	O O O O O C O O O F O F O O F O O F O O F O O O O O O F
9	Den enestående bil vandt i denne specielle disciplin i konkurrence med 73 andre specialbyggede biler på Silverstone-banen i Storbritannien .	den enestående bil vandt i denne specielle disciplin i konkurrence med 73 andre specialbyggede biler på silverstone-banen i storbritannien	O O O C O O O O O O O O O O O O O O O	den enestående bil vandt i denne specielle disciplin i konkurrence med 73 andre specialbyggede biler på silverstone-banen i storbritannien	O O O C O O O O O O O O O O O O O O O
10	Steen Gade siger , at SF ikke kan gå med til fælles forsvar , den økonomisk-monetære union , unionsborgerskab og dele af det retslige samarbejde .	steen gade siger at sf ikke kan gå med til fælles forsvar den økonomisk-monetære union unionsborgerskab og dele af det retslige samarbejde	O O C O O O C C O O O O O O O O O O O O O O	steen gade siger at sf ikke kan gå med til fælles forsvar den økonomisk-monetære union unionsborgerskab og dele af det retslige samarbejde	O O C O O O C C O O O O O O O O O O O O O O
11	En anden satte ild til sig selv .	en anden satte ild til sig selv	O O C O O O O	en anden satte ild til sig selv	O O C O O O O
12	Det er Peter Elmegaard , der sørger for at købe skoene hjem og står i butikken til hverdag .	det er peter elmegaard der sørger for at købe skoene hjem og står i butikken til hverdag	O C O O O C O O C O O O C O O O O	det peter elmegaard er der sørger for at skoene hjem købe og står i butikken til hverdag	O O O F O C O O O O F O C O O O O
13	"Foruden at være et tilløbsstykke for "" klorofyl-turister "" er Robinson Crusoe et paradis for dem , der kan lide hummer ."	foruden at være et tilløbsstykke for klorofyl-turister er robinson crusoe et paradis for dem der kan lide hummer	O O C O O O O C O O O O O O O C C O	foruden at være et tilløbsstykke for klorofyl-turister robinson crusoe et paradis for er dem der kan hummer lide	O O C O O O O O O O O O F O O C O F
14	Uden ble løber barnets diarré ned over pigens lår .	uden ble løber barnets diarré ned over pigens lår	O O C O O O O O O	uden ble barnets diarré løber ned over pigens lår	O O O O F O O O O
15	- De er s'gu ret flot , sagde jeg .	de er s'gu ret flot sagde jeg	O C O O O C O	de er s'gu ret flot sagde jeg	O C O O O C O
16	De må lære at acceptere forskelligheder uden at udgrænse den .	de må lære at acceptere forskelligheder uden at udgrænse den	O C C O C O O O C O	de må lære acceptere at forskelligheder udgrænse uden at den	O C C F O O F O O O
17	"For otte millioner pund er byttet "" Living Legend "" , hvor man bliver ført gennem hele historien med billeder , lyd , tåge , lyn , torden , storm og andre effekter ."	for otte millioner pund er byttet living legend hvor man bliver ført gennem hele historien med billeder lyd tåge lyn torden storm og andre effekter	O O O O C O O O O O C C O O O O O O O O O O O O O	for otte millioner pund byttet living er ført legend hvor man gennem hele historien bliver med billeder lyd tåge lyn torden storm og andre effekter	O O O O O O F F O O O O O O F O O O O O O O O O O
18	""" Jeg vidste , at de kunne blive til et eller andet stort , så jeg gik hen og spurgte , om de kunne rappe . """	jeg vidste at de kunne blive til et eller andet stort så jeg gik hen og spurgte om de kunne rappe	O C O O C C O O O O O O O C O O C O O C C	jeg vidste at de kunne blive til et eller andet stort så gik jeg hen og spurgte om de rappe kunne	O C O O C C O O O O O O F O O O C O O F F
