idx	original	no_punc_lower	adjacent	adjacent_gold	random	random_gold
0	Sá frestur var þó reyndar síðar framlengdur til 15. mars .	sá frestur var þó reyndar síðar framlengdur til 15. mars	sá frestur þó var reyndar framlengdur síðar til 15. mars	O O O F O F O O O O	var sá frestur þó reyndar síðar framlengdur til 15. mars	F O O O O O C O O O
1	Tökur á myndinni hófust í dag í kvikmyndaveri Warner Bros .	tökur á myndinni hófust í dag í kvikmyndaveri warner bros	tökur á myndinni hófust í dag í kvikmyndaveri warner bros	O O O C O O O O O O	tökur á myndinni hófust í dag í kvikmyndaveri warner bros	O O O C O O O O O O
2	Íslands- og bikarmeistararnir fá því ágætis veganesti inn í Íslandsmótsins .	íslands- og bikarmeistararnir fá því ágætis veganesti inn í íslandsmótsins	íslands- og bikarmeistararnir fá því ágætis veganesti inn í íslandsmótsins	O O O C O O O O O O	íslands- og bikarmeistararnir fá því ágætis veganesti inn í íslandsmótsins	O O O C O O O O O O
3	Í staðinn fékk ég urmul af gjöfum frá fallegu fólki .	í staðinn fékk ég urmul af gjöfum frá fallegu fólki	í staðinn ég fékk urmul af gjöfum frá fallegu fólki	O O O F O O O O O O	í staðinn fékk ég urmul af gjöfum frá fallegu fólki	O O C O O O O O O O
4	Nú er langt liðið á ágúst og ekkert hefur gerst .	nú er langt liðið á ágúst og ekkert hefur gerst	er nú langt liðið á ágúst og ekkert hefur gerst	F O O C O O O O C C	nú er langt liðið á hefur gerst ágúst og ekkert	O C O C O F F O O O
5	Heiðrún Lind vildi ekki staðfesta þetta í samtali við Vísi .	heiðrún lind vildi ekki staðfesta þetta í samtali við vísi	heiðrún lind staðfesta vildi ekki þetta í samtali við vísi	O O F F O O O O O O	staðfesta heiðrún lind vildi ekki þetta í samtali við vísi	F O O C O O O O O O
6	En mjög margt áhugavert sem hefur komið í ljós .	en mjög margt áhugavert sem hefur komið í ljós	en mjög margt áhugavert sem hefur í komið ljós	O O O O O C O F O	en mjög margt áhugavert sem hefur í ljós komið	O O O O O C O O F
7	Kolbrún tekur á fjölbreyttum og misalvarlegum vandamálum með skjólstæðingum sínum .	kolbrún tekur á fjölbreyttum og misalvarlegum vandamálum með skjólstæðingum sínum	tekur kolbrún á fjölbreyttum og misalvarlegum vandamálum með skjólstæðingum sínum	F O O O O O O O O O	kolbrún á fjölbreyttum og misalvarlegum vandamálum með tekur skjólstæðingum sínum	O O O O O O O F O O
8	Samtals gistu fimmtán manns í fangageymslu í Reykjavík um helgina .	samtals gistu fimmtán manns í fangageymslu í reykjavík um helgina	samtals gistu fimmtán manns í fangageymslu í reykjavík um helgina	O C O O O O O O O O	samtals gistu fimmtán manns í fangageymslu í reykjavík um helgina	O C O O O O O O O O
9	Hlutfall kvenna hefur aukist lítillega , úr 30% í 33% .	hlutfall kvenna hefur aukist lítillega úr 30% í 33%	hlutfall kvenna hefur lítillega aukist úr 30% í 33%	O O C O F O O O O	hlutfall kvenna aukist lítillega úr 30% í 33% hefur	O O C O O O O O F
10	Frá og með árinu 2014 hefur markvisst verið unnið að því að minnka hámarkshraða á götum borgarinnar úr 50 km í 30 km .	frá og með árinu 2014 hefur markvisst verið unnið að því að minnka hámarkshraða á götum borgarinnar úr 50 km í 30 km	frá og með árinu hefur 2014 markvisst verið unnið að því að hámarkshraða minnka á götum borgarinnar úr 50 km í 30 km	O O O O F O O C C O O O O F O O O O O O O O O	frá og með árinu 2014 markvisst unnið að því að minnka hámarkshraða á hefur götum verið borgarinnar úr 50 km í 30 km	O O O O O O C O O O C O O F O F O O O O O O O
11	Fidel Castro gagnrýndi Barack Obama , forseta Bandaríkjanna , fyrr í dag í grein sem hann skrifaði og birtist í ríkisreknum fjölmiðli landsins .	fidel castro gagnrýndi barack obama forseta bandaríkjanna fyrr í dag í grein sem hann skrifaði og birtist í ríkisreknum fjölmiðli landsins	fidel gagnrýndi castro barack obama forseta bandaríkjanna fyrr í dag í grein sem hann skrifaði og birtist í ríkisreknum fjölmiðli landsins	O F O O O O O O O O O O O O C O C O O O O	fidel castro barack obama forseta bandaríkjanna fyrr í dag í grein sem hann skrifaði og birtist í ríkisreknum fjölmiðli landsins gagnrýndi	O O O O O O O O O O O O O C O C O O O O F
12	Ég fór því rólega af stað en þegar ég var að taka sprett á æfingu nokkru síðar fann ég sting neðst við ökklann .	ég fór því rólega af stað en þegar ég var að taka sprett á æfingu nokkru síðar fann ég sting neðst við ökklann	ég því fór rólega af stað en þegar var ég að taka sprett á æfingu nokkru síðar fann ég sting neðst við ökklann	O O F O O O O O F O O C O O O O O C O O O O O	ég því fór rólega fann af stað en þegar ég var að taka sprett á æfingu nokkru síðar ég sting neðst við ökklann	O O F O F O O O O O C O C O O O O O O O O O O
13	Angelo kvaðst fyrir dómi í dag hafa vitað af þremur pökkum í bílnum en hann sagðist ekki hafa vitað hvað væri í þeim .	angelo kvaðst fyrir dómi í dag hafa vitað af þremur pökkum í bílnum en hann sagðist ekki hafa vitað hvað væri í þeim	angelo fyrir kvaðst dómi í hafa dag vitað af þremur pökkum í bílnum en hann sagðist ekki hafa vitað hvað væri í þeim	O O F O O F O C O O O O O O O C O F F O C O O	angelo kvaðst fyrir dómi í sagðist dag hafa af þremur pökkum í bílnum en hann vitað vitað ekki væri hafa hvað í þeim	O C O O O F O C O O O O O O O F F O F C O O O
